aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,model_number,product_model,ean,isbn,upc,mpn,parent_product_id,product_GTIN,in_stock,base_price
http://www.awin1.com/pclick.php?p=13086438951&a=315735&m=5766,"Gel Mai Mesh Off White",13086438951,61988,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_mai_off_white_1.jpg,"The ASICS Gel-Mai is another archival style that has been experiencing a resurgence in the last year as it's sturdy, unique style comes back in line with modern trends. It's combination of a close fit and cushioned midsole made it a popular option for runners on release, and the technology stills holds up offering comfort and cushioning. Unique assymmetrical lace eyelet for a a full length hold. Breathable mesh uppers with nubuck overlays. GEL cushioned PU midsole. Durable rubber outsole. Logo 'jewel' on the midsole.","Footwear > Men's footwear,Brands > ASICS,Brands",104.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_mai_off_white_1.jpg&feedId=14583&k=d38abec1cdc06981971a6d60af2cfe522483d061,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-mai-off-white?utm_source=google_shopping&m=configurable,,,GBP104.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928467&a=315735&m=5766,"Gel Kayano Evo Winter Tech Pack Black",3772928467,21331,https://static.5pointz.co.uk/media/catalog/product/a/s/asics91.jpg,"The Asics stick to their usual design elements such as the Mono Sock and the distinctive logo Stripe design. The Tiger stripes are welded and the mesh upper overlays on the toe box, which makes the shoes noticeably lighter.","Footwear > Men's footwear,Brands > ASICS,Brands",74.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics91.jpg&feedId=14583&k=37b9390995194a999e73b2b8cd3924fc9724ff96,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-kayano-evo-winter-tech-pack-black?utm_source=google_shopping&m=configurable,,,GBP74.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=11605586491&a=315735&m=5766,"Gel Lyte III Marzipan / Silver",11605586491,53069,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_lyte_iii_marzipan_silver_1.png,"The ASICS Gel-Lyte is is perfect canvas for unique colourways, which is why it’s been the subject of so many famous collaborations. This new in-house premium design uses the shoes traditional materials of mesh with suede overlays and gives it a desert-camo like style with patterning on the neoprene collar and midsole support plate. Synthetic woven uppers with suede overlays. GEL midsole for responsive cushioning. Custom camo print on Neoprene one-piece collar. Speckled effect on the mid-foot support panel. Durable rubber outsole.","Footwear > Men's footwear,Brands > ASICS,Brands",89.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_lyte_iii_marzipan_silver_1.png&feedId=14583&k=a530af07e7addc6357bb913ec015aadd516adf03,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-iii-marzipan-silver?utm_source=google_shopping&m=configurable,,,GBP89.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928099&a=315735&m=5766,"Gel Kayano Black / Black",3772928099,18622,https://static.5pointz.co.uk/media/catalog/product/a/s/asics42.jpg,"This monochrome version of the ASICS Gel Kayano is part of the special Black and White pack, The single tone colourway is a step away from the usual loud, sporty colourways that decorate this silhouette. The uppers are made from a mixture of synthetic fabrics and suede with plastic overlays, all sitting on a deep midsole that contains the brand's Gel technology that increases bounce and shock absorption.","Footwear > Men's footwear,Brands > ASICS,Brands",114.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics42.jpg&feedId=14583&k=a74c15d5c0121bcfdd60fb54532595bca9be326f,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-kayano-black-black?utm_source=google_shopping&m=configurable,,,GBP114.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928537&a=315735&m=5766,"Gel Lyte V Shadow Pack Black / Black",3772928537,21849,https://static.5pointz.co.uk/media/catalog/product/a/s/asics99.jpg,"The ASICS Gel Lyte V Shadow Pack is constructed in a premium full black suede upper with a perforated toe box. The sneakers feature contrasting grey accents on the leather tiger stripes, heel and lacing area. The sneakers feature the signature cushioning system, and a dark grey out sole.","Footwear > Men's footwear,Brands > ASICS,Brands",99.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics99.jpg&feedId=14583&k=5f0fe892c38504f3a871a3019eddb83d22e3c5f5,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-v-shadow-pack-black-black?utm_source=google_shopping&m=configurable,,,GBP99.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3848373249&a=315735&m=5766,"Gel Respector Carbon Japanese Garden Pack",3848373249,44372,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_respector_carbon_japanese_garden_pack_1.png,"This ASICS Gel Respector is part of the new 'Japanese Garden Pack'. The name comes from the gentle natural tones used to colour the all suede uppers. The main difference between the Gel Respector and other GEL silhouettes is it's regular tongue and stocky build. The flat laces math the rubber outsole, which sits under the more neutral colour of the GEL midsole.","Footwear > Men's footwear,Brands > ASICS,Brands",99.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_respector_carbon_japanese_garden_pack_1.png&feedId=14583&k=b195dc4d0968f124c5ceced4fe576c57aff13cfc,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-respector-carbon-japanese-garden-pack?utm_source=google_shopping&m=configurable,,,GBP99.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=10125160763&a=315735&m=5766,"Gel Lyte III Aluminium / Aluminium",10125160763,48108,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_lyte_iii_aluminium_aluminium_1.png,"This ASICS Gel-Lyte III is a premium all-suede edition of the famous 'split-tongue' runner presented in a monotone colourway, making it a perfect lifestyle option. Uppers constructed from premium perforated suede with matching overlays. A pure white GEL cushioned PU midsole. Off white heel plate and rubber outsole Matching flat laces.","Footwear > Men's footwear,Brands > ASICS,Brands",99.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_lyte_iii_aluminium_aluminium_1.png&feedId=14583&k=45528d987e0cd4547bf8febd5a47a33a540e24f5,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-iii-aluminium-aluminium?utm_source=google_shopping&m=configurable,,,GBP99.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928263&a=315735&m=5766,"Gel Lyte III Jamaica Green / Yellow",3772928263,19870,https://static.5pointz.co.uk/media/catalog/product/a/s/asics57.jpg,"This iconic Asics silhouette has also been given the Jamaica treatment this time in green suede and mesh uppers sat on top of the comfortable cushioned gel mid sole and with a split tongue this shoe is famous for and set off with yellow Asics logo. H514N-8404","Footwear > Men's footwear,Brands > ASICS,Brands",39.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics57.jpg&feedId=14583&k=1f0989212362fb11bf35358c4ed25fbd79d39dfb,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-iii-jamaica-green-yellow?utm_source=google_shopping&m=configurable,,,GBP39.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=12816724789&a=315735&m=5766,"Gel Diablo White / Black",12816724789,61966,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_diablo_white_black_1.png,"The ASICS Gel Diablo has seen a renaissance this year after the 90's runner got the Ronnie Fieg treatment in a recent collaboration. Now ASICS have brought it back in its original build and colourway. Breathable mesh uppers, with leather and suede overlays. Deep GEL cushioned midsole. Durable rubber outsole. Original colourway.","Footwear > Men's footwear,Brands > ASICS,Brands",94.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_diablo_white_black_1.png&feedId=14583&k=32b6d3b6898eda6a3112d525d780f8ab45919e6e,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-diablo-white-black?utm_source=google_shopping&m=configurable,,,GBP94.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928261&a=315735&m=5766,"Gel Lyte V Jamaica Yellow / Black",3772928261,19856,https://static.5pointz.co.uk/media/catalog/product/a/s/asics56.jpg,"Part of the Jamaica Pack this Asics Gel-Lyte V is constructed with yellow suede and mesh uppers set off by the infamous Asics logo in black, and sits on top of the signature Gel cushioned midsole with hints of the Jamaica colours visible on the midsole, tongue and lining. H512Y-0490","Footwear > Men's footwear,Brands > ASICS,Brands",39.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics56.jpg&feedId=14583&k=c062f45304581bbe12cd89020bfd1d9d79f03b9f,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-v-jamaica-yellow-black?utm_source=google_shopping&m=configurable,,,GBP39.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3802396333&a=315735&m=5766,"Gel DS Trainer OG Black Tiger Beetle Pack",3802396333,42713,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_ds_trainer_og_black_1.png,"Here we have the second OG colourway of the ASICS GEL-DS, following the recent release of the 'White / Black' version. The silhouette is a classic early nineties runner that has not been brought out of the archives before now. This first re-release of the DS sees it in its bright OG colourway. It features leather uppers with suede details, a neoprene sock-liner, a one-piece upper and jersey lining on the padded one-piece collar. The grippy outsole features a glowing grippy pattern on the front section.","Footwear > Men's footwear,Brands > ASICS,Brands",114.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_ds_trainer_og_black_1.png&feedId=14583&k=c0608b52ac81fe92980b5a5b79da71356c43c667,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-ds-trainer-og-black-black-tiger-beetle-pack?utm_source=google_shopping&m=configurable,,,GBP114.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=10125160767&a=315735&m=5766,"Gel Mai Carbon / Carbon",10125160767,48152,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_mai_carbon_carbon_1.png,"First launched in the 1990s, the GEL-MAI sneaker from ASICS was one of many innovative running shoe designs from what has been called a golden era in the industry. It's combination of a close fit and cushioned midsole made it a popular option for runners and it's unique look made it popular with the collectors. Unique assymmetrical lace eyelet for a a full length hold. Breathable mesh uppers with nubuck overlays. GEL cushioned PU midsole Durable rubber outsole Logo 'jewel' on the midsole.","Footwear > Men's footwear,Brands > ASICS,Brands",104.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_mai_carbon_carbon_1.png&feedId=14583&k=ee5b05651ced4676b2436596a237240addbbd28d,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-mai-carbon-carbon?utm_source=google_shopping&m=configurable,,,GBP104.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928057&a=315735&m=5766,"GT II White / White",3772928057,18322,https://static.5pointz.co.uk/media/catalog/product/a/s/asics44.jpg,"Here ASICS bring bsck the 1986 GT II runner is a light palette that bounces off the gum colour of the outsole. It features perforated leather, and mesh uppers with synthetic suede overlays and contrasting branding down the side panels. The deep Gel cushioned midsole with the soft build of the uppers give comfort with the simple style of the design.","Footwear > Men's footwear,Brands > ASICS,Brands",74.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics44.jpg&feedId=14583&k=fd06d475b851346a3404f19acbf52e2a201ee3b0,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gt-ii-white-white?utm_source=google_shopping&m=configurable,,,GBP74.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928059&a=315735&m=5766,"GT II Light Grey / Off White",3772928059,18336,https://static.5pointz.co.uk/media/catalog/product/a/s/asics45.jpg,"Here ASICS bring bsck the 1986 GT II runner is a light palette that bounces off the gum colour of the outsole. It features perforated leather, and mesh uppers with synthetic suede overlays and contrasting branding down the side panels. The deep Gel cushioned midsole with the soft build of the uppers give comfort with the simple style of the design.","Footwear > Men's footwear,Brands > ASICS,Brands",74.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics45.jpg&feedId=14583&k=1aa5aac535370968ed5eb602c55d89067e9d33dc,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gt-ii-light-grey-off-white?utm_source=google_shopping&m=configurable,,,GBP74.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928063&a=315735&m=5766,"Gel Lyte III Premium Nubuck Grey / Grey",3772928063,18364,https://static.5pointz.co.uk/media/catalog/product/a/s/asics55.jpg,"From ASICS comes the ‘Premium Nubuck’ edition of the popular Gel Lyte III silhouette. Dressed from top to bottom in a luxurious nubuck coat atop a nicely speckled midsole before a punchy ‘Menthol’ hue outsole.","Footwear > Men's footwear,Brands > ASICS,Brands",114.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics55.jpg&feedId=14583&k=0d809428a2c9657a110517406ebaf9067b308134,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-iii-premium-nubuck-grey-grey?utm_source=google_shopping&m=configurable,,,GBP114.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928069&a=315735&m=5766,"Gel Lyte III Crane Red / Grey",3772928069,18406,https://static.5pointz.co.uk/media/catalog/product/a/s/asics54.jpg,"The ASICS Gel Lyte III Crane Red / Grey launches 27th April at 00.01am. This ASICS Gel Lyte III 'Crane' features premium suede uppers with a two tone colour combination that is emphasised by the white stripes running down the side and the subtle speckled effect on the Gel midsole. The perforated toe box, neoprene collar, plastic eyelets and embossed logo on the heel give a wide variety of textures that add to the premium feel of this bright edition of the popular silhouette. The whole thing is finished off nicely with a custom crane feather print on the insole.","Footwear > Men's footwear,Brands > ASICS,Brands",104.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics54.jpg&feedId=14583&k=474a938488f1b1bea599aa99eab2fc49eb1417a8,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-iii-crane-red-grey?utm_source=google_shopping&m=configurable,,,GBP104.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928079&a=315735&m=5766,"Gel Lyte V Nightshade Pack Light Grey / Light Grey",3772928079,18504,https://static.5pointz.co.uk/media/catalog/product/a/s/asics65.jpg,"ASICS adorn the popular Gel Lyte III silhouette with evening tones with this new 'Nightshade Pack'. As per usual they feature the one piece neoprene collar to give a snug fit, mesh uppers and suede overlays with subtle ASICS branding. The burgundy highlights and the speckled effect on the GEL unit midsole finishes the look off nicely. Stylecode: H5R2N-1313","Footwear > Men's footwear,Brands > ASICS,Brands",94.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics65.jpg&feedId=14583&k=8121387dcba6ccc5d94f641572cb972bd9ed74cd,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-v-nightshade-pack-light-grey-light-grey?utm_source=google_shopping&m=configurable,,,GBP94.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3772928081&a=315735&m=5766,"Gel Lyte III Croc Pack Off White / Off White",3772928081,18518,https://static.5pointz.co.uk/media/catalog/product/a/s/asics66.jpg,"This special Platinum release Gel Lyte III from ASICS has been dubbed the 'Croc Pack' due to the crocodile skin effect that has been applied to the premium leather uppers. Other features including laces and outsole with a matching tone, leather covering on the split tongue and a different tone of white on the midsole and lining.","Footwear > Men's footwear,Brands > ASICS,Brands",67.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fa%2Fs%2Fasics66.jpg&feedId=14583&k=616966f0bb189979caffcfff70b3adbf71f669b4,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-lyte-iii-croc-pack-off-white-off-white?utm_source=google_shopping&m=configurable,,,GBP67.99,14583,,,,,,,,,1,
http://www.awin1.com/pclick.php?p=13086438949&a=315735&m=5766,"Gel Mai Mesh Carbon Grey",13086438949,61977,https://static.5pointz.co.uk/media/catalog/product/g/e/gel_mai_mesh_carbon_grey_1_1.jpg,"The ASICS Gel-Mai is another archival style that has been experiencing a resurgence in the last year as it's sturdy, unique style comes back in line with modern trends. It's combination of a close fit and cushioned midsole made it a popular option for runners on release, and the technology stills holds up offering comfort and cushioning. Unique assymmetrical lace eyelet for a a full length hold. Breathable mesh uppers with nubuck overlays. GEL cushioned PU midsole. Durable rubber outsole. Logo 'jewel' on the midsole.","Footwear > Men's footwear,Brands > ASICS,Brands",104.99,5pointz,5766,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Astatic.5pointz.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fg%2Fe%2Fgel_mai_mesh_carbon_grey_1_1.jpg&feedId=14583&k=f85859169e3744d7d0b62190b087a4052c366e0f,GBP,,"AU::  - International Signed For (Royal Mail) 7- 9 DAYS:26 GBP,FR::  - DPD Classic Europe By Road 2-3 Days:9 GBP,DE::  - DPD Classic Europe By Road 2-3 Days:9 GBP,PT::  - DPD Classic Europe By Road 4-5 Days:16 GBP,GB::  - Interlink Express Next Business Day Delivery, If Ordered Before 3pm:0 GBP,GB::  - Pick Up From Our Bristol Store:0 GBP,US::  - DPD Air Classic 3-6 Days:24.33 GBP",https://www.5pointz.co.uk/asics-gel-mai-mesh-carbon-grey?utm_source=google_shopping&m=configurable,,,GBP104.99,14583,,,,,,,,,1,
